Character,Relation,Attribute,Content
Jester,,item_book_bawdy_tales,"Finally, one I haven't read yet."
Bounty Hunter,,item_book_bawdy_tales,"Don't ask, don't tell."
Hellion,,item_book_bawdy_tales,"Read it to me? ... Eugh, or maybe not."
Runaway,,item_book_bawdy_tales,I'll be in my bunk.
Leper,,item_book_bawdy_tales,Simple fare but always titillating.
,,item_book_desert,Seems a fascinating tale of solitude.
Occultist,,item_book_desert,A nostalgic read for myself.
Man-at-arms,,item_book_desert,Unfamiliar terrain for me! Interesting...
Plague Doctor,,item_book_desert,I have much to learn about the drier climes!
Grave Robber,,item_book_desert,He always promised to take me somewhere sunny...
Highwayman,,item_book_desert,"Sand for miles, what a strange land."
Jester,,item_book_desert,Endless wastes. Could distract me from these endless wastes.
Bounty Hunter,,item_book_desert,Tactical research.
Hellion,,item_book_desert,Wonder what they hunt out there.
Runaway,,item_book_desert,... Lotta places I haven't been to yet.
Leper,,item_book_desert,"The dunes, the countless stars... old friends from my childhood."
,,item_book_insults,To enrage is to make vulnerable!
Occultist,,item_book_insults,Means to unbalance the enemy's mind.
Man-at-arms,,item_book_insults,"Sharp sword, sharper wit."
Plague Doctor,,item_book_insults,To enrage a foe is to reduce its efficiency.
Grave Robber,,item_book_insults,"Hmm. I know the author, actually."
Highwayman,,item_book_insults,Worth a try in a fight.
Jester,,item_book_insults,It's a little insulting I have to read this.
Bounty Hunter,,item_book_insults,Heh heh.
Hellion,,item_book_insults,Townfolk bickering goes right over my head.
Runaway,,item_book_insults,"Wait, is THAT how you pronounce it...?"
Leper,,item_book_insults,A childish weapon for immature minds.
,,item_book_parries,If I'm to bleed then so should my foe!
Occultist,,item_book_parries,"I prefer the proven defense of range, but..."
Man-at-arms,,item_book_parries,Who's up for drills? On your feet!
Plague Doctor,,item_book_parries,Bladework is a precise science!
Grave Robber,,item_book_parries,These are always written for men.
Highwayman,,item_book_parries,Might learn something new.
Jester,,item_book_parries,Didn't even know I could parry with a sickle.
Bounty Hunter,,item_book_parries,"Not my style, but why not?"
Hellion,,item_book_parries,"Hmph. If you have to parry, your first strike was weak."
Runaway,,item_book_parries,Oof. Can I practice with you?
Leper,,item_book_parries,I am not so far gone that I cannot learn.
,,item_book_poetry,What exquisite stanzas!
Occultist,,item_book_poetry,All spells are basically poems of a sort.
Man-at-arms,,item_book_poetry,I may have already read this one.
Plague Doctor,,item_book_poetry,I usually only read scientific texts.
Grave Robber,,item_book_poetry,I had libraries of this stuff once.
Highwayman,,item_book_poetry,Reminds me of a lover I once had.
Jester,,item_book_poetry,"I only borrow, never steal."
Bounty Hunter,,item_book_poetry,<i>Nothing</i> else to read?
Hellion,,item_book_poetry,What are these? War songs without drums?
Runaway,,item_book_poetry,"A lot of pretty words, but it's not <i>about</i> anything."
Leper,,item_book_poetry,I think this one was written in my court.
,,item_boxing_gloves,"Nothing below the belt, please."
Occultist,,item_boxing_gloves,"Strike my turban, if you dare."
Man-at-arms,,item_boxing_gloves,Shall I tie a hand behind my back?
Plague Doctor,,item_boxing_gloves,Practicing pugilism prepares properly!
Grave Robber,,item_boxing_gloves,A little tussle to work out the kinks!
Highwayman,,item_boxing_gloves,First to fall?
Jester,,item_boxing_gloves,"Hum a li'l lullaby, sing like a banshee!"
Bounty Hunter,,item_boxing_gloves,I won't go easy.
Hellion,,item_boxing_gloves,I only pull my punches for friends.
Runaway,,item_boxing_gloves,Hah! Put 'em up! Better be quick!
Leper,,item_boxing_gloves,I trust you'd prefer I keep the mask on.
,,item_calming_incense,Inhale deeply and clear your mind.
Occultist,,item_calming_incense,Tension melts away. The prowling mind stills.
Man-at-arms,,item_calming_incense,I'm more knot than muscle - pass it here.
Plague Doctor,,item_calming_incense,"Strange, the effect vapours can have on anatomy."
Grave Robber,,item_calming_incense,Smells cheap... but one can't be precious on the road.
Highwayman,,item_calming_incense,"You callin' me tense? ... Fine, fine."
Jester,,item_calming_incense,Had a patron named Neroli once. *sniff*
Bounty Hunter,,item_calming_incense,Smells all right.
Hellion,,item_calming_incense,*sniff* My eyes feel heavy already...
Runaway,,item_calming_incense,This smoke doesn't smell like smoke. Strange.
Leper,,item_calming_incense,A sweet scent evoking bittersweet memories...
,,item_candles_and_chocolate,Let's go around back.
Occultist,,item_candles_and_chocolate,Let us intertwine auras.
Man-at-arms,,item_candles_and_chocolate,"War has made me coarse, let these offerings soften my chances."
Plague Doctor,,item_candles_and_chocolate,Now I shall study the carnal disciplines.
Grave Robber,,item_candles_and_chocolate,"Let's give this a proper go, eh?"
Highwayman,,item_candles_and_chocolate,"Love, my greatest foe."
Jester,,item_candles_and_chocolate,Usually I only need my lute...
Bounty Hunter,,item_candles_and_chocolate,*snort*
Hellion,,item_candles_and_chocolate,Lot of fuss for a tussle in the furs.
Runaway,,item_candles_and_chocolate,Let's see if my hammock can hold two.
Leper,,item_candles_and_chocolate,I hope the candles are scented.
,,item_clarifying_poultice,A little on the temples to clear the mind.
Occultist,,item_clarifying_poultice,I must manifest my psyche unto the flesh.
Man-at-arms,,item_clarifying_poultice,Keeps me on my feet when a cudgel rings the ol' bell!
Plague Doctor,,item_clarifying_poultice,Helps stabilize the humours!
Grave Robber,,item_clarifying_poultice,Lose your focus and you'll lose your life.
Highwayman,,item_clarifying_poultice,For when a tree branch slams against your favourite skull.
Jester,,item_clarifying_poultice,Take a big smack and this will keep you on beat.
Bounty Hunter,,item_clarifying_poultice,*sharp sniff*
Hellion,,item_clarifying_poultice,Hoo! That rouses the senses!
Runaway,,item_clarifying_poultice,Good for long nights on watch.
Leper,,item_clarifying_poultice,I coat the inside of my mask with this.
,,item_clotting_poultice,May my wounds close swiftly!
Occultist,,item_clotting_poultice,Blood stains more than the ground.
Man-at-arms,,item_clotting_poultice,Slather this on vital arteries!
Plague Doctor,,item_clotting_poultice,To arrest unnecessary exsanguination!
Grave Robber,,item_clotting_poultice,The less bleeding the better.
Highwayman,,item_clotting_poultice,No one likes to bleed.
Jester,,item_clotting_poultice,Can't get blood on the strings.
Bounty Hunter,,item_clotting_poultice,Better than bleeding.
Hellion,,item_clotting_poultice,Blood is life! Ours and our kin!
Runaway,,item_clotting_poultice,Give it here. So I don't slow us down.
Leper,,item_clotting_poultice,Every drop counts.
,,item_dart_board,Put the board up away from the windows this time.
Occultist,,item_dart_board,Is it skill or is it fate?
Man-at-arms,,item_dart_board,"Though my fingers be clumsy, I do enjoy this."
Plague Doctor,,item_dart_board,Juvenile pastimes do lighten the mood so!
Grave Robber,,item_dart_board,Who wants a shot at the champ?
Highwayman,,item_dart_board,Five relics for each bullseye.
Jester,,item_dart_board,I'll try not to cheat.
Bounty Hunter,,item_dart_board,Good practice.
Hellion,,item_dart_board,Hmph. These things are so brittle!
Runaway,,item_dart_board,Hah! You wanna wager chores?
Leper,,item_dart_board,This mask obscures my vision so.
,,item_drum,Dancing draws much from fighting.
Occultist,,item_drum,There are rhythms that lie outside of time.
Man-at-arms,,item_drum,Drums guide formations and maintain the line!
Plague Doctor,,item_drum,"Practicing mobility to stand firm, how curious."
Grave Robber,,item_drum,Practiced feet will not betray you.
Highwayman,,item_drum,"Boring exercise, but useful."
Jester,,item_drum,Pa-rum-pa-pum-pumm!
Bounty Hunter,,item_drum,I don't get it.
Hellion,,item_drum,Circle the drums! Beat hard! Beat fast! KALIIIII-YAH!
Runaway,,item_drum,Just so long as we don't spook the horses.
Leper,,item_drum,A small ditty to keep the feet firm.
,,item_food_1,"Cold, slimy, and fills the gullet."
Occultist,,item_food_1,Similar to the Xiccarphian fungoids I once hunted...
Man-at-arms,,item_food_1,Hah! Can't be choosy in the field.
Plague Doctor,,item_food_1,Efficacious but troubling nonetheless.
Grave Robber,,item_food_1,Uuugh. How far I have fallen...
Highwayman,,item_food_1,I've had worse.
Jester,,item_food_1,Sure this wasn't growing on the real food?
Bounty Hunter,,item_food_1,Hmph. Little bland.
Hellion,,item_food_1,It's food. You won't hear me complain.
Runaway,,item_food_1,Ech. If you heat it up it's even worse.
Leper,,item_food_1,Nature provides for us in its own strange way.
,,item_food_1_use_limit,Had quite enough of that.
Occultist,,item_food_1_use_limit,My hunger is sated.
Man-at-arms,,item_food_1_use_limit,"Full up on this crud, thank ye."
Plague Doctor,,item_food_1_use_limit,I've no need for another sample.
Grave Robber,,item_food_1_use_limit,I am not yet so desperate.
Highwayman,,item_food_1_use_limit,Had enough.
Jester,,item_food_1_use_limit,Had my fill of that slimy stuff.
Bounty Hunter,,item_food_1_use_limit,Nah.
Hellion,,item_food_1_use_limit,I want for nothing.
Runaway,,item_food_1_use_limit,Best save it 'til it's needed.
Leper,,item_food_1_use_limit,My body has no demands for now.
,,item_food_2,Need something to wash this down.
Occultist,,item_food_2,Even this will bring power.
Man-at-arms,,item_food_2,We had worse on the front.
Plague Doctor,,item_food_2,Somewhat desiccated but no sign of fungal growth.
Grave Robber,,item_food_2,Surely we have spreads somewhere. Jam...? Honey...?
Highwayman,,item_food_2,Can't be too picky on the road.
Jester,,item_food_2,Which will grow older - this old bread or us?
Bounty Hunter,,item_food_2,*crunch*
Hellion,,item_food_2,"Ah, well. It soaks up the wine."
Runaway,,item_food_2,It's food. It's free. No complaints from me.
Leper,,item_food_2,Difficult to swallow unless I soak it first...
,,item_food_2_use_limit,Surprisingly filling.
Occultist,,item_food_2_use_limit,I have had my fair share.
Man-at-arms,,item_food_2_use_limit,Too much bread. Need some shut-eye.
Plague Doctor,,item_food_2_use_limit,That bland bread is rather filling.
Grave Robber,,item_food_2_use_limit,I couldn't stomach another dreary bite.
Highwayman,,item_food_2_use_limit,Save the rest for the road.
Jester,,item_food_2_use_limit,"I know I appear starved, but no."
Bounty Hunter,,item_food_2_use_limit,Pass.
Hellion,,item_food_2_use_limit,I take smaller meals on the hunt.
Runaway,,item_food_2_use_limit,Nah.
Leper,,item_food_2_use_limit,I require nothing further.
,,item_food_3,"Don't recognize this particular cheese, tasty though."
Occultist,,item_food_3,Sensorially adequate.
Man-at-arms,,item_food_3,"Ah, I <i>was</i> feelin' a bit peckish. *crunch*"
Plague Doctor,,item_food_3,That crisp crunch! It's been a long time...
Grave Robber,,item_food_3,Add some cured venison and we're in business.
Highwayman,,item_food_3,"Mm, hits the spot."
Jester,,item_food_3,A satisfying snack... got more?
Bounty Hunter,,item_food_3,Filling. Decent. Seconds?
Hellion,,item_food_3,Cheese was a luxury in our camp. Mmm!
Runaway,,item_food_3,And I didn't even have to steal it.
Leper,,item_food_3,Simple but satisfying - perfect for long journeys.
,,item_food_3_use_limit,"Tasty, but I've had enough."
Occultist,,item_food_3_use_limit,I am content at present.
Man-at-arms,,item_food_3_use_limit,Can't overdo it on that rich stuff.
Plague Doctor,,item_food_3_use_limit,"A fine treat, but I am sated."
Grave Robber,,item_food_3_use_limit,"Saving room for a tipple, no thank ye."
Highwayman,,item_food_3_use_limit,I'm well'n good for now.
Jester,,item_food_3_use_limit,A full belly! Luxurious.
Bounty Hunter,,item_food_3_use_limit,Full up for now.
Hellion,,item_food_3_use_limit,*satisfied belch*
Runaway,,item_food_3_use_limit,I even ate the cores. ... What!
Leper,,item_food_3_use_limit,Pity I haven't room for more.
,,item_food_4,A bit overdone but hits the spot.
Occultist,,item_food_4,"A cantrip to soften the gristle, then."
Man-at-arms,,item_food_4,Now that'll do me. Pass the gravy!
Plague Doctor,,item_food_4,Fat and protein to stimulate the appetite.
Grave Robber,,item_food_4,A reasonable impression of decent fare.
Highwayman,,item_food_4,Now this is the stuff!
Jester,,item_food_4,I prefer mine a little bloodier... heheh.
Bounty Hunter,,item_food_4,Tasty and a lot of it - perfect combination.
Hellion,,item_food_4,Let me sear the next lot!
Runaway,,item_food_4,I'll swap you my steak for more potatoes?
Leper,,item_food_4,A hearty meal after a long day's labour.
,,item_food_4_use_limit,Ahhh. *burp*
Occultist,,item_food_4_use_limit,One of the better meals I've had whilst traveling.
Man-at-arms,,item_food_4_use_limit,Pray my belt still fits...
Plague Doctor,,item_food_4_use_limit,My last meal was fuel enough.
Grave Robber,,item_food_4_use_limit,"Nay, not one spud more."
Highwayman,,item_food_4_use_limit,I'm stuffed.
Jester,,item_food_4_use_limit,Would that I could...
Bounty Hunter,,item_food_4_use_limit,A satisfying feed.
Hellion,,item_food_4_use_limit,I'll sleep heavy tonight.
Runaway,,item_food_4_use_limit,I stomached what I could. That smell...
Leper,,item_food_4_use_limit,Hunger troubles me no longer.
,,item_food_5,Made this on the Stagecoach stove?
Occultist,,item_food_5,Humble but filling.
Man-at-arms,,item_food_5,"Reminds me of the officer's mess, not bad!"
Plague Doctor,,item_food_5,Baking is akin to alchemy. You're a promising student.
Grave Robber,,item_food_5,"Simple, yes, but... pleasing texture."
Highwayman,,item_food_5,I'll take a half dozen.
Jester,,item_food_5,Shall we sell these by the roadside next?
Bounty Hunter,,item_food_5,Smells good in here.
Hellion,,item_food_5,A band of hunters bonding 'round the cookfire...
Runaway,,item_food_5,We can cook without stopping? Perfect.
Leper,,item_food_5,"Warm, simple - good for days when the stomach ails."
,,item_food_5_use_limit,"Simple, warm, satisfying."
Occultist,,item_food_5_use_limit,Now I shall sleep off some bruises.
Man-at-arms,,item_food_5_use_limit,Another flapjack might end my campaign.
Plague Doctor,,item_food_5_use_limit,"I couldn't, not one more bite!"
Grave Robber,,item_food_5_use_limit,I'll direct my gluttony toward other vices for now.
Highwayman,,item_food_5_use_limit,Hardly ever turn down a meal - but no.
Jester,,item_food_5_use_limit,Fed and fit for whatever awaits.
Bounty Hunter,,item_food_5_use_limit,They'll keep for the road ahead.
Hellion,,item_food_5_use_limit,My belly is full.
Runaway,,item_food_5_use_limit,Leave me be. I'm full.
Leper,,item_food_5_use_limit,I need not overindulge. I am content.
,,item_holy_beads,"A bead for every martyr, a knot per saint."
Occultist,,item_holy_beads,A small cantrip to extract the power.
Man-at-arms,,item_holy_beads,Devotion engenders discipline engenders victory.
Plague Doctor,,item_holy_beads,A true scientist harnesses all energies.
Grave Robber,,item_holy_beads,This worked for an old partner... until it didn't.
Highwayman,,item_holy_beads,I felt a strange pull...
Jester,,item_holy_beads,I am really desperate for inspiration.
Bounty Hunter,,item_holy_beads,It comes to this.
Hellion,,item_holy_beads,My ancestors never needed these... but why not.
Runaway,,item_holy_beads,*gulp* ... No! I'll try 'em! I'm not scared!
Leper,,item_holy_beads,My first fruitless hope was seeded with these beads.
,,item_impermeable_poultice,A bane against pestilence!
Occultist,,item_impermeable_poultice,Any blight should be prevented.
Man-at-arms,,item_impermeable_poultice,We will likely face cowards who employ venom!
Plague Doctor,,item_impermeable_poultice,Not as potent as my formula but should draw out impurities.
Grave Robber,,item_impermeable_poultice,Effective even against my own venom.
Highwayman,,item_impermeable_poultice,Good against all kinds of nasty.
Jester,,item_impermeable_poultice,Fungus and poison are hard to rhyme to.
Bounty Hunter,,item_impermeable_poultice,Can't afford falling ill.
Hellion,,item_impermeable_poultice,Smells foul so it must work.
Runaway,,item_impermeable_poultice,The sick fall behind. Not me.
Leper,,item_impermeable_poultice,A writhing death is not the death I pray for.
,,item_meditative_totem,With reflection comes the ability to change.
Occultist,,item_meditative_totem,"Ah, the clarity of a quiet, focused mind."
Man-at-arms,,item_meditative_totem,"Any advantage in the field, I suppose..."
Plague Doctor,,item_meditative_totem,Occupies the hands while the mind contemplates.
Grave Robber,,item_meditative_totem,"Cheap materials, yet it's somehow artful."
Highwayman,,item_meditative_totem,"Never been a superstitious type, but..."
Jester,,item_meditative_totem,What a weird little trinket! Who made you?
Bounty Hunter,,item_meditative_totem,"Not sure these work, but..."
Hellion,,item_meditative_totem,"Spirits of old, my blood who came before me..."
Runaway,,item_meditative_totem,I make my own luck.
Leper,,item_meditative_totem,A stone skips across calm waters. Ripples follow.
,,item_mop,Menial but necessary.
Occultist,,item_mop,Cleanliness repels many sordid beings.
Man-at-arms,,item_mop,A general with a mop inspires forthright effort.
Plague Doctor,,item_mop,A clean laboratory produces consistent results.
Grave Robber,,item_mop,Is this how you hold it?
Highwayman,,item_mop,Labour is a release from past sins.
Jester,,item_mop,The soft swish is most relaxing.
Bounty Hunter,,item_mop,You're paying me a <i>lot</i> for this.
Hellion,,item_mop,"If they can't smell the blood, they can't track us."
Runaway,,item_mop,Choring is boring but no one's above it.
Leper,,item_mop,I must not allow my pestilence to spread to any of you.
,,item_nightshade_concoction,A witch's brew to frighten Death itself.
Occultist,,item_nightshade_concoction,This anchors my spirit more firmly.
Man-at-arms,,item_nightshade_concoction,I've seen soldiers nearly cut in half stay on their feet with this.
Plague Doctor,,item_nightshade_concoction,I need to study this strange plant further.
Grave Robber,,item_nightshade_concoction,A foul-tasting way to cheat Death.
Highwayman,,item_nightshade_concoction,Bitter but worth it.
Jester,,item_nightshade_concoction,It's said to repel Death herself.
Bounty Hunter,,item_nightshade_concoction,An old trade secret...
Hellion,,item_nightshade_concoction,Chase it with wine if you must. Feh.
Runaway,,item_nightshade_concoction,"If I can't outrun Death, I'll cheat."
Leper,,item_nightshade_concoction,Better to temper Death's temptation.
,,item_pipeweed,I'll show you how to blow rings.
Occultist,,item_pipeweed,Dimensions bloom with each puff.
Man-at-arms,,item_pipeweed,I used to confiscate plugs of this from my soldiers.
Plague Doctor,,item_pipeweed,*cough* Ghaack...! *wheeze*
Grave Robber,,item_pipeweed,Ah.
Highwayman,,item_pipeweed,A steadfast companion for the long road.
Jester,,item_pipeweed,"Ah, sweet muse!"
Bounty Hunter,,item_pipeweed,*exhales*
Hellion,,item_pipeweed,Mm. Stinks of steppe grass.
Runaway,,item_pipeweed,Huh. All right. I'll give it a go.
Leper,,item_pipeweed,"This evokes life's deepest mysteries, trouble for some."
,,item_playing_cards,I'll deal first!
Occultist,,item_playing_cards,Have I ever explained the symbols on these cards?
Man-at-arms,,item_playing_cards,Never let soldiers play for money.
Plague Doctor,,item_playing_cards,A simple mathematical challenge.
Grave Robber,,item_playing_cards,"I won't cheat this time, honest!"
Highwayman,,item_playing_cards,I'll shuffle.
Jester,,item_playing_cards,Was this your card?
Bounty Hunter,,item_playing_cards,Ante up.
Hellion,,item_playing_cards,But what do I get if I <i>win?</i>
Runaway,,item_playing_cards,"No sneaky fingers, dealer! I'm watching!"
Leper,,item_playing_cards,A pleasant diversion or a tool of divination.
,,item_restorative_herbs,It does soothe the pain some.
Occultist,,item_restorative_herbs,Material solutions for the corporeal shell.
Man-at-arms,,item_restorative_herbs,A battlefield medic's staple!
Plague Doctor,,item_restorative_herbs,Unproven but seemingly effective.
Grave Robber,,item_restorative_herbs,Gah! What a stench!
Highwayman,,item_restorative_herbs,"If it works, it works."
Jester,,item_restorative_herbs,It also clears the phlegm from my throat.
Bounty Hunter,,item_restorative_herbs,"Feh, that stench."
Hellion,,item_restorative_herbs,Stinks... but wound rot stinks worse.
Runaway,,item_restorative_herbs,Yee-uck!
Leper,,item_restorative_herbs,What remains of my nose is displeased.
,,item_roast_pig,"Pleasant company and a full stomach, huzzah!"
Occultist,,item_roast_pig,Pork is delightful in all dimensions.
Man-at-arms,,item_roast_pig,Fabulous! Fabulous!
Plague Doctor,,item_roast_pig,It smells exactly like burning human flesh!
Grave Robber,,item_roast_pig,Coarse fare but satisfying.
Highwayman,,item_roast_pig,A rare delight.
Jester,,item_roast_pig,I'll sing for this meal!
Bounty Hunter,,item_roast_pig,Ribs. Now.
Hellion,,item_roast_pig,A hearty meal for a long journey. Eat up!
Runaway,,item_roast_pig,I haven't eaten this good in... maybe ever.
Leper,,item_roast_pig,Once a staple in my court long ago. Just missing the apple.
,,item_roast_pig_use_limit,A plentiful feast - I've had my fill.
Occultist,,item_roast_pig_use_limit,"I need no further nourishment, pleasant as that smells."
Man-at-arms,,item_roast_pig_use_limit,"One more bite? ... Alas, no room."
Plague Doctor,,item_roast_pig_use_limit,I feel strangely content - best not push it.
Grave Robber,,item_roast_pig_use_limit,Warm hearth. Full stomach. I require no more.
Highwayman,,item_roast_pig_use_limit,"Tempting, but no."
Jester,,item_roast_pig_use_limit,My stomach rumbles no more!
Bounty Hunter,,item_roast_pig_use_limit,*contented burp*
Hellion,,item_roast_pig_use_limit,Woe that I am too full!
Runaway,,item_roast_pig_use_limit,Not hungry yet. More's the pity.
Leper,,item_roast_pig_use_limit,Share my portion between the others instead.
,,item_songbook_amorous,To all the loves I've had and lost.
Occultist,,item_songbook_amorous,"Would be more of a trio, technically speaking."
Man-at-arms,,item_songbook_amorous,"Let this old dog show you a few tricks, eh?"
Plague Doctor,,item_songbook_amorous,Heated reagants... undocumented results... so far.
Grave Robber,,item_songbook_amorous,Been a while since someone tried <i>this</i> on me...
Highwayman,,item_songbook_amorous,Love spurned me once. But I can forget for a night.
Jester,,item_songbook_amorous,Careful - might write a new one for you.
Bounty Hunter,,item_songbook_amorous,Mask off this time.
Hellion,,item_songbook_amorous,"A song for the fireside, eh? Come closer."
Runaway,,item_songbook_amorous,We're here. We're breathing. Isn't that enough?
Leper,,item_songbook_amorous,The heart beats persistent despite its failing shell.
,,item_songbook_morose,I must give voice to my grief.
Occultist,,item_songbook_morose,Mourning hymns old as time and the gods.
Man-at-arms,,item_songbook_morose,"You deserved more than a song, brothers..."
Plague Doctor,,item_songbook_morose,A body is merely inert tissue. But if mourning helps...
Grave Robber,,item_songbook_morose,"If I can carry one tune, it's a dirge, love."
Highwayman,,item_songbook_morose,"*slow, haunting whistling*"
Jester,,item_songbook_morose,"*gentle, melancholy strumming*"
Bounty Hunter,,item_songbook_morose,Seems awful sentimental.
Hellion,,item_songbook_morose,We sing for the kin we've laid to rest.
Runaway,,item_songbook_morose,Sounds like church songs. Pretty but sad.
Leper,,item_songbook_morose,A song for the years I'll never see.
,,item_songbook_rousing,Tell me if I'm in tune!
Occultist,,item_songbook_rousing,My blood stirs! Let us have at them!
Man-at-arms,,item_songbook_rousing,No book needed - I know this lot by heart!
Plague Doctor,,item_songbook_rousing,One to rile the humours!
Grave Robber,,item_songbook_rousing,Up lasses! Up lads! We ride!
Highwayman,,item_songbook_rousing,We sang these on the chain gang...
Jester,,item_songbook_rousing,*fierce strumming* I can hardly keep up!
Bounty Hunter,,item_songbook_rousing,I don't sing. But I'll listen.
Hellion,,item_songbook_rousing,KIII-YAH! Shed your skins and howl!
Runaway,,item_songbook_rousing,We roar like flames! Let 'em hear us!
Leper,,item_songbook_rousing,A roaring army thundering over the plains...
,,item_soothing_poultice,This should tame the burning.
Occultist,,item_soothing_poultice,I have no desire to burn.
Man-at-arms,,item_soothing_poultice,I favoured this when facing greek fire!
Plague Doctor,,item_soothing_poultice,Useful to keep flesh from combusting.
Grave Robber,,item_soothing_poultice,This also does wonders for crow's feet.
Highwayman,,item_soothing_poultice,Fire can make for a nasty foe.
Jester,,item_soothing_poultice,This is for the lute.
Bounty Hunter,,item_soothing_poultice,I hate fire.
Hellion,,item_soothing_poultice,"Ahh, cool as fresh mud."
Runaway,,item_soothing_poultice,Soothe the burn? Why would I want to...?
Leper,,item_soothing_poultice,"Not much left to burn, really."
,,item_speed_bag,My timing needs honing.
Occultist,,item_speed_bag,This physical shell needs enhancement.
Man-at-arms,,item_speed_bag,Reflexes are the first and best line of defense!
Plague Doctor,,item_speed_bag,A mindless pastime can be relaxing.
Grave Robber,,item_speed_bag,I just fix the image of my former husband in my mind...
Highwayman,,item_speed_bag,Where are the wraps?
Jester,,item_speed_bag,Rhythm at speed demands precision!
Bounty Hunter,,item_speed_bag,*cracks knuckles*
Hellion,,item_speed_bag,"Train with me, eh? Best keep up!"
Runaway,,item_speed_bag,A round with this and maybe a spar after!
Leper,,item_speed_bag,"I'm already wrapped, thanks."
,,item_stew,Plain but fortifying.
Occultist,,item_stew,An unfamiliar aroma but it is filling.
Man-at-arms,,item_stew,My stomach grumbles in trepidation!
Plague Doctor,,item_stew,A bowl would nourish my body.
Grave Robber,,item_stew,You call this food?
Highwayman,,item_stew,The finest meal is the meal you're eating.
Jester,,item_stew,And here I was going to let my stomach do the singing.
Bounty Hunter,,item_stew,Not bad.
Hellion,,item_stew,A good use for old game.
Runaway,,item_stew,Never turn down a hot meal.
Leper,,item_stew,Every meal a feast.
,,item_stew_use_limit,That'll be all.
Occultist,,item_stew_use_limit,Leave me to my contemplations.
Man-at-arms,,item_stew_use_limit,I've 'ad enough.
Plague Doctor,,item_stew_use_limit,My appetite wanes of late. Pass.
Grave Robber,,item_stew_use_limit,One bowl of that sludge was plenty.
Highwayman,,item_stew_use_limit,I've had me fill. Leave me be.
Jester,,item_stew_use_limit,A second bowl? Where would I put it?
Bounty Hunter,,item_stew_use_limit,Save it.
Hellion,,item_stew_use_limit,Leave the broth to thicken overnight.
Runaway,,item_stew_use_limit,Already had seconds when y'weren't looking.
Leper,,item_stew_use_limit,One of the others may need it more.
,,item_stimulating_poultice,Is my hand shaking?
Occultist,,item_stimulating_poultice,Herbs to augment rapidity.
Man-at-arms,,item_stimulating_poultice,Anything to quicken the weapon hand.
Plague Doctor,,item_stimulating_poultice,This accelerates the blood!
Grave Robber,,item_stimulating_poultice,Speed keeps me alive.
Highwayman,,item_stimulating_poultice,"The quicker the slash, the shorter the fight."
Jester,,item_stimulating_poultice,Why settle for 1/16th when there's 1/32nd?
Bounty Hunter,,item_stimulating_poultice,Better to hit them first.
Hellion,,item_stimulating_poultice,I can feel the blood-rush coming on!
Runaway,,item_stimulating_poultice,Anything to stay a step ahead.
Leper,,item_stimulating_poultice,This makes my hand quake after battle.
,,item_stitching_kit,Please get it over with.
Occultist,,item_stitching_kit,Is this another kind of blood ritual?
Man-at-arms,,item_stitching_kit,Draw my dissenting flesh together!
Plague Doctor,,item_stitching_kit,I can do this myself.
Grave Robber,,item_stitching_kit,Better to not get cut in the first place.
Highwayman,,item_stitching_kit,You'd think I'd be better at this by now.
Jester,,item_stitching_kit,My skin is basically patchwork now.
Bounty Hunter,,item_stitching_kit,Serves me right.
Hellion,,item_stitching_kit,What's one more scar!
Runaway,,item_stitching_kit,You better keep that hand steady...
Leper,,item_stitching_kit,For what little remains.
,,item_the_wine,Sip and savor. There is no vintage like it.
Occultist,,item_the_wine,"Come, come, I prefer not to imbibe alone."
Man-at-arms,,item_the_wine,How's about we split this?
Plague Doctor,,item_the_wine,Hmph. Well. Fine. Burns less than the other stuff.
Grave Robber,,item_the_wine,"Share a nightcap, love?"
Highwayman,,item_the_wine,"I'm not often the sharing sort, but what do you say?"
Jester,,item_the_wine,"A rare treat, pilfered from some louche estate."
Bounty Hunter,,item_the_wine,*slurp* Awful sweet. You can have the rest.
Hellion,,item_the_wine,"Now <i>this</i> is wine! Come, enjoy with me!"
Runaway,,item_the_wine,This is real high-born stuff. Have a sip.
Leper,,item_the_wine,I thought I'd never savour such a vintage again...
,,item_tug_rope,Let's test our strength!
Occultist,,item_tug_rope,A true test of the will!
Man-at-arms,,item_tug_rope,Who will fall behind me?!
Plague Doctor,,item_tug_rope,I will ensure that the weight is distributed evenly!
Grave Robber,,item_tug_rope,I suppose if it makes you lot happy.
Highwayman,,item_tug_rope,Loser takes first watch!
Jester,,item_tug_rope,My beanpole frame for victory!
Bounty Hunter,,item_tug_rope,Let's go.
Hellion,,item_tug_rope,Rrrragh! Hold on tight!
Runaway,,item_tug_rope,Eh. Rope burns aren't the <i>fun</i> kind.
Leper,,item_tug_rope,Who dares challenge the mighty leper?
,,item_wax_innoculant,Supposed to ward off the pestilence.
Occultist,,item_wax_innoculant,Viral spirits are not fond of this.
Man-at-arms,,item_wax_innoculant,No battlefield plague will befall me now.
Plague Doctor,,item_wax_innoculant,This should seal out any miasma!
Grave Robber,,item_wax_innoculant,Essential for pestilential catacombs.
Highwayman,,item_wax_innoculant,Horrible miasmas in these times.
Jester,,item_wax_innoculant,Whatever keeps the voice box clean.
Bounty Hunter,,item_wax_innoculant,Can't get sick.
Hellion,,item_wax_innoculant,Much unclean prey in these wastes.
